"id","name","date","dating_notes","xlong","ylat","date_type","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","xeast","ynorth"
50,"Kouk Prey Koy",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.66255,13.56889,"regression","horseshoe_east",87.469249,724.419575,TRUE,TRUE,NA,NA,NA,NA,NA,NA,355286.9,1500448
51,"Kouk Kou",839,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.6671,13.57053,"graphbased","horseshoe_east",89.436495,1144.946452,FALSE,TRUE,NA,NA,NA,NA,NA,NA,355778.2,1500627
52,"Kouk Om",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.67974,13.57115,"regression","causeway_2",90,1385.811309,FALSE,TRUE,NA,NA,NA,NA,NA,NA,357148.5,1500683
53,"Kouk Kralanh",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.65497,13.57745,"graphbased","horseshoe_east",90,762.569792,TRUE,TRUE,NA,NA,NA,NA,NA,NA,354473.7,1501395
54,"Kouk Bos Leas",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.66251,13.55005,"regression","horseshoe_east",88.553429,610.867408,FALSE,TRUE,NA,NA,NA,NA,NA,NA,355274.5,1498360
55,"Kouk Trâpeang Krapeu",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68962,13.56197,"regression","horseshoe_east",85.259457,1095.641578,TRUE,TRUE,NA,NA,NA,NA,NA,NA,358215,1499670
56,"Kouk Neak Ta Trâpeang Thom",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65396,13.50748,"regression","horseshoe_east",107.500735,697.952186,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,354323,1493657
57,"Kouk Khtom",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68366,13.56702,"regression","horseshoe_east",89.783787,1662.691344,TRUE,TRUE,NA,NA,NA,NA,NA,NA,357572.4,1500227
58,"Kouk Rom Dol",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68533,13.56678,"regression","square",90.456485,1147.717208,FALSE,TRUE,NA,NA,NA,NA,NA,NA,357750.9,1500198
59,"Prasat Kôk Ampor (T.)",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.68519,13.57707,"regression","causeway_2",95.290074,2124.303632,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,357741.1,1501336
60,"Prasat Kôk Toch (T.)",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.69709,13.56617,"regression","horseshoe_east",79.240258,5494.017854,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,359020.6,1500125
61,"Wat Thipadei",1035,"Date derived from art historical analyses of lintels (Polkinghorne 2007).",103.69847,13.57175,"empirical","horseshoe_east",91.941482,1713.411884,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,359174.5,1500742
62,"Kouk Kou",1003,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.70357,13.57196,"graphbased","horseshoe_east",73.881232,1246.517346,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,359723.9,1500766
63,"Preah Enkosei (Pr.)",968,"A group of brick towers dating to the 10th century based on two inscriptions (K.262 and K. 263)(Aymonier 1901:403-407). Excavations by the Greater Angkor project in 2012 suggest possible habitation around the temples. Excavations also uncovered light post-Angkorian habitation in the form of 16-17th century Chinese tradewares (Greater Angkor Project Wat Preah Einkosei 2012). There is also a lintel at this temple that dates to this period (Polkinghorne 2007). Date also derived from analyses of inscriptions (Lustig 2009).",103.86648,13.372,"empirical","horseshoe_east",98.365826,2018.790135,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,377264.3,1478558
64,"Kouk Trâpeang Chom",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.73558,13.56681,"regression","horseshoe_east",69.443972,1169.238965,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,363184.4,1500161
65,"Kouk Pongro",962,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.81699,13.5524,"graphbased","square",71.136341,1778.53439,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,371993.6,1498532
66,"Prasat Kôk Chan (T.)",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.76284,13.57376,"regression","horseshoe_east",78.899397,6700.322713,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,366144.6,1500923
67,"Prasat Kanhchan Thkov (T.)",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80307,13.56611,"regression","horseshoe_east",90,6249.182121,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,370478.4,1500062
68,"Kouk Yeay Seav (Pr.)",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80915,13.57622,"regression","square",73.206099,2573.766973,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,371155.9,1501174
69,"Kroluk Thkov",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",103.85432,13.57097,"regression","horseshoe_east",85.970539,1550.245235,FALSE,TRUE,NA,NA,NA,NA,NA,NA,376043.8,1500568
70,"Unknown",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.86248,13.6084,"regression","causeway_2",90,2150.769384,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,376947.2,1504707
71,"Veal Trâpeang Ka Ab",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80638,13.60522,"regression","square",82.146699,1925.029944,TRUE,FALSE,NA,NA,NA,NA,NA,NA,370862.3,1504331
72,"Unknown",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.72751,13.55988,"regression","square",65.714162,1245.86152,TRUE,FALSE,NA,NA,NA,NA,NA,NA,362314.3,1499433
73,"Prasat Kôk Ta Hok (T.)",929,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.69032,13.56111,"graphbased","horseshoe_east",90.763952,1922.861891,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,358288,1499568
74,"Kouk Chambok Sow",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.66649,13.56382,"regression","causeway_2",90,1421.799801,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,355714.1,1499882
76,"Kouk Beng",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.66253,13.56046,"regression","horseshoe_east",86.315556,1628.601714,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,355279,1499518
77,"Kouk Kou Prey Antol",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65726,13.49972,"regression","horseshoe_east",94.76363,1235.801472,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,354668.6,1492803
78,"Kouk Trâpeang Preang",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.80171,13.59947,"regression","horseshoe_east",90,1761.205655,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,370362.2,1503755
79,"Kou (Pr.)",970,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.77336,13.6066,"graphbased","horseshoe_east",85.346631,3708.734653,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,367309,1504561
80,"Kouk Bos Preal",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.69911,13.6071,"regression","horseshoe_east",93.197582,1807.580226,FALSE,TRUE,NA,NA,NA,NA,NA,NA,359278.3,1504653
81,"Don Tei",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.85631,13.5297,"regression","square",91.718332,6247.494284,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,376237.4,1496002
82,"Kôk Chan",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.71064,13.59214,"regression","horseshoe_east",270.569156,1927.331934,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,360499.9,1502985
83,"Angkor Pheas Wat",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.72337,13.60734,"regression","causeway_4",87.199709,3862.241158,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,361885,1504654
84,"Kouk Kou Trâpeang La Peak",1067.198,"Date derived through multiple linear regression (Klassen et al. 2018).",103.73348,13.60176,"regression","horseshoe_east",84.37765,3041.154148,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,362989,1504038
85,"Kouk Trâpeang Ka Ngong",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.64542,13.55081,"regression","causeway_2",90,1355.318315,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,353420.2,1498458
86,"Prei Danghaeum (Pr.)",900,"Dated to the turn of the 10th century by a sculpture of Brahma illustrated in EFEO Fonds Cambodge.",103.74363,13.36793,"empirical","horseshoe_east",90,4099.370379,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,363943.9,1478163
87,"Kouk Bos Veang",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.63843,13.53418,"graphbased","horseshoe_east",99.727623,1362.404125,TRUE,TRUE,NA,NA,NA,NA,NA,NA,352658.4,1496620
88,"Kouk Bos Veang",875,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.6413,13.53329,"graphbased","square",95.710628,743.942181,TRUE,TRUE,NA,NA,NA,NA,NA,NA,352966.6,1496518
89,"Kouk Dok Por",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65328,13.5187,"regression","square",90.248761,2365.416278,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,354254.5,1494896
90,"Kouk Ta Lom",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65248,13.52325,"regression","horseshoe_east",91.762412,1941.28537,TRUE,TRUE,NA,NA,NA,NA,NA,NA,354168.4,1495409
91,"Kouk Romchek",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65877,13.52298,"regression","horseshoe_east",90,1294.101199,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,354847.5,1495373
92,"Phum Khcay",1299.5,"Date derived from analyses of inscriptions (Lustig 2009).",103.65643,13.52764,"empirical","horseshoe_east",85.601331,937.798615,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
93,"Bos Kou",1067.198,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65209,13.52561,"regression","horseshoe_east",89.075857,1163.344539,FALSE,TRUE,NA,NA,NA,NA,NA,NA,354130.9,1495665
94,"Kouk Kou",858,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.65193,13.52914,"graphbased","horseshoe_east",80.40699,635.771203,TRUE,TRUE,NA,NA,NA,NA,NA,NA,354113,1496064
95,"Wat Khcheay",910.6558,"Date derived through multiple linear regression (Klassen et al. 2018).",103.65953,13.52972,"regression","causeway_2",90,1728.781275,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,354939.6,1496114
